Número inscripción,,Denominación social,,
860,,"FOTOCOMPOSICIÓN IKUR, S.A.",,
2107,,"COPISA CONSTRUCTORA PIRENAICA, S.A.",,
2182,,"LABORATORIOS GELOS, S.A.",,
875,,"HIBAIA, S.L.",,
613,,"HOSTELCO, S.L.",,
1982,,"ARISTA DISEÑO, S.L.",,
8,,GIROA S.A.,,
11,,"FIRMES Y AGLOMERADOS, S.A.",,
2190,,"ALMERPA, S.L.",,
1512,,"CHEAL MEDIC, S.L.",,
357,,"ALAY PRODUCTOS CLÍNICOS, S.A.",,
2139,,"CALDERERÍA JUMAN, S.L.",,
983,,"IBERMÁTICA, S.A.",,
1052,,"LANTEC GROUP 3000, S.L.",,
2700,,CONSTRUCCIONES IRURETA SL,,
1849,,"OTIS MOBILITY, S.A.",,
2209,,"SERVICIOS VASCOS DE TASACIONES, S.A.",,
979,,"VIAJES IBERIA, S.A.",,
794,,"CONSTRUCCIONES AZKAYO, S.L.",,
1903,,"GRUPO U SISTEMAS Y COMUNICACIONES, S.L.",,
1123,,"GAIMAZ INFRAESTRUCTURAS Y SERVICIOS, S. A.",,
,,,,
864,,"GASTRONOMÍA CANTÁBRICA, S.L.",,
1332,,"ARIATZA JARDINES, S.L.",,
2631,,"EUROMA, S.A.",,
341,,"AZK TALDEA, S.A.",,
171,,"GRÁFICAS BERRIZ, S.L.",,
1908,,"SERVICIOS DE CORRESPONDENCIA, S.L.",,
395,,"LA CASA DEL MÉDICO, S.L.",,
1671,,"ÁGORA ARQUITECTURA Y PLANEAMIENTO, S.L.",,
2025,,"DECORACIONES DIMACA, S.A.",,
1839,,"PHARMACIA SPAIN, S.A.",,
1097,,"DORLET, S.A.",,
1068,,"ORONA, S. COOP.",,
494,,"ALECOP, S. COOP.",,
954,,"SALICRU, S.A.",,
1602,,"MAIDER, S.L.",,
657,,"GUPOST, S.A. PUBLICIDAD DIRECTA",,
531,,"DRÄGER MEDICAL HISPANIA, S.A.",,
1198,,"CONSTRUCCIONES URQUIZAR, S.L.",,
1094,,"OBRAS Y CONTRATAS INDAUTXU, S.L.",,
1103,,"BIENVENIDO GIL, S.L.",,
1229,,"BILBO BERRI AUTOMÓVILES, S.A.U.",,
1966,,"IBM GLOBAL SERVICES ESPAÑA, S.A.",,
117,,"EVAGRAF, S. COOP.",,
2036,,"ABBOTT MEDICAL ESPAÑA, S.A.",,
1275,,"CONSTRUCCIONES INTXAUSTI, S.A.",,
,,,,
2015,,"I.C.T. INSTRUMENTACIÓN CIENTÍFICA TÉCNICA, S.L.",,
1500,,"HIDROCONTROL ACONDICIONAMIENTOS DE AGUA, S.L.",,
2023,,"NOVOTEC CONSULTORES, S.A.",,
697,,"INYPSA INFORMES Y PROYECTOS, S.A.",,
4378,,"CARGONET, S.L.",,
2057,,"CONSTRUCCIONES DEL NORTE GASTEIZ, S.L.",,
2370,,"ESKUTIK ESKURA, S.L.",,
2742,,"IKERLORA JARDINERÍA Y VIVEROS, S.L.",,
2744,,"KUUL ZERBITZU KULTURALAK, S.L.",,
1282,,"ATOS ORIGIN, SOCIEDAD ANONIMA ESPAÑOLA",,
1977,,"REPOBLACIONES FORESTALES EUSKALDUNAK, S.L.",,
1973,,"REPAIR ESTRUCTURAS, S.L.",,
2076,,"MANTENIMIENTOS ARABA, S.L.",,
1815,,"JUVÁZQUEZ, S.L.",,
698,,"EGIN-SOFT, S.L.",,
2727,,"HERNÁNDEZ CABEZA, S.L.",,
57,,"BIHARKO, S.A.",,
1768,,"JUPER BI, S.L.",,
2908,,"LOGIMOBEL XXI, S.L.",,
2823,,"INGENIERÍA Y DEMOLICIONES, S.L.",,
3021,,"PROMOCIONES INDUSTRIALES URITIASOLO, S.L.",,
3857,,"MAS LEINTZ ABOKATUAK, S.L.L.",,
2803,,"FUJIFILM ESPAÑA, S.A.",,
2818,,"DELTALAB, S.L.",,
